Ministry,Collective CA,Contract Account,Calendar Year/Month,Year,Month,Net Sales Quantity,Unit Cost,Net Sales Amount,Unnamed: 9,Collective Account,#Accounts Connected,Unnamed: 12,Accounts,Length of Service,Unnamed: 15,Non-SRCA Accounts,Status,Savings,Account_Type
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,1.2024,2024,January,3333,0.32,1066.56,,20000005027,4313,,10005606181,24,,10041652298,г—я“ Ў»н ѕ. ”бнг«д «бЌ»н»,487466.88,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,2.2024,2024,February,3684,0.32,1178.88,,20000015631,288,,10005767843,24,,10041819893,я—«ћ »ѕ«ќбе гЏѕ«  «б»бѕн…,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,3.2024,2024,March,2959,0.32,946.88,,20000016245,216,,10005767871,24,,10087678652,ж—‘… ‘—я… Џ»«н… яг«нб бб’д«Џ…,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,4.2024,2024,April,3799,0.32,1215.68,,20000016531,48,,10005768798,24,,10090681669,‘—я… »д џ—н— бб’д«Џ«  «бгЏѕдн…,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,5.2024,2024,May,5143.76,0.319999378,1646,,20000017055,120,,10005768822,24,,10090687152,‘—я… ’»« «бЏ—»н… ббѕЏ«н… ж«б«Џб«д,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,6.2024,2024,June,10234.4,0.320000195,3275.01,,20000017421,24,,10005769795,24,,10100620322,ЁЌ’ ббЏг«б… «бгд“бн…,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,7.2024,2024,July,12839.84,0.320000093,4108.75,,20000017771,120,,10041218697,15,,10092138721,г»дм гећж—,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,8.2024,2024,August,11656.53,0.320000034,3730.09,,20000018160,54,,10041237745,24,,10102743591,г»дм гећж—,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,9.2024,2024,September,11251.47,0.319999964,3600.47,,20000018400,168,,10041237871,24,,10102743608,г»дм гећж—,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,10.2024,2024,October,9668,0.32,3093.76,,20000022494,48,,10041238134,24,,10102743617,г»дм гећж—,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,11.2024,2024,November,5086,0.32,1627.52,,20000022752,174,,10041364962,24,,10102743626,г»дм гећж—,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,12.2024,2024,December,2808,0.32,898.56,,20000022888,384,,10041365093,24,,10102417666,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,1.2024,2024,January,1385,0.32,443.2,,20000023491,48,,10041477483,24,,10102417675,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,2.2024,2024,February,1585,0.32,507.2,,20000023796,548,,10041477607,24,,10102417737,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,3.2024,2024,March,1334,0.32,426.88,,20000023965,408,,10041477723,24,,10102417746,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,4.2024,2024,April,1184,0.32,378.88,,20000024309,192,,10041477840,24,,10102417755,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,5.2024,2024,May,1461.46,0.320001916,467.67,,20000024523,379,,10041477975,24,,10102417764,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,6.2024,2024,June,2870.88,0.319999443,918.68,,20000024748,108,,10041478103,24,,10102417773,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,7.2024,2024,July,4114.86,0.320001167,1316.76,,20000024882,24,,10041478239,24,,10102417782,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,8.2024,2024,August,5017.03,0.32000008,1605.45,,20000025899,1623,,10041637685,24,,10102417791,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,9.2024,2024,September,4793.42,0.319999082,1533.89,,20000060154,1443,,10041647430,24,,10102417808,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,10.2024,2024,October,3996.62,0.3200004,1278.92,,20000060511,367,,10041647556,5,,10102418341,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,11.2024,2024,November,2605.37,0.320000614,833.72,,20000062337,529,,10041652298,24,,10102418350,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,12.2024,2024,December,1674.13,0.319999044,535.72,,20000063531,922,,10041684326,24,,10100641304,«бЌ”«»  ћ«—н ,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,1.2024,2024,January,472,0.32,151.04,,20000075246,697,,10041772545,24,,10100641331,«бЌ”«»  ћ«—н ,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,2.2024,2024,February,364,0.32,116.48,,20000075881,22,,10041773838,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,3.2024,2024,March,682,0.32,218.24,,20000083417,36,,10041819893,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,4.2024,2024,April,1004,0.32,321.28,,20000084773,24,,10041882716,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,5.2024,2024,May,1555.28,0.320000257,497.69,,20000084924,6,,10041882851,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,6.2024,2024,June,2723.94,0.319999706,871.66,,20000084933,848,,10041882977,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,7.2024,2024,July,3735.75,0.32,1195.44,,20000085752,12,,10041883114,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,8.2024,2024,August,3851.7,0.319998961,1232.54,,20000086393,12,,10041883240,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,9.2024,2024,September,3788.99,0.320000845,1212.48,,20000086802,30,,10041996332,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,10.2024,2024,October,2940.33,0.320001496,940.91,,20000087621,12,,10041996421,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,11.2024,2024,November,2287,0.32,731.84,,20000089279,18,,10041996511,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767871,12.2024,2024,December,868.08,0.320005069,277.79,,20000092050,547,,10087678652,21,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,1.2024,2024,January,699,0.32,223.68,,20000093324,17,,10090681669,21,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,2.2024,2024,February,705,0.32,225.6,,20000093469,16,,10090687152,21,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,3.2024,2024,March,680,0.32,217.6,,20000095356,38,,10092013816,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,4.2024,2024,April,1094.91,0.319998904,350.37,,20000095605,8,,10092138721,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,5.2024,2024,May,1456.76,0.319997803,466.16,,20000095759,1290,,10099127971,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,6.2024,2024,June,1148.63,0.319998607,367.56,,20000095786,20,,10099321923,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,7.2024,2024,July,1745.75,0.32,558.64,,20000096086,12,,10099324424,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,8.2024,2024,August,1923.94,0.319999584,615.66,,20000102085,105,,10099324433,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,9.2024,2024,September,2176.75,0.32,696.56,,20000102156,69,,10099342039,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,10.2024,2024,October,1592.18,0.320001507,509.5,,20000122391,937,,10099342057,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,11.2024,2024,November,1109.19,0.319999279,354.94,,20000142133,933,,10099342066,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768798,12.2024,2024,December,610.55,0.320006551,195.38,,20000151704,18,,10099342084,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,1.2024,2024,January,1632,0.32,522.24,,20000171476,1868,,10099342093,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,2.2024,2024,February,1858,0.32,594.56,,20000174576,48,,10100550774,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,3.2024,2024,March,1799,0.32,575.68,,20000175152,6,,10100571569,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,4.2024,2024,April,2602.2,0.319998463,832.7,,20000177282,30,,10100571578,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,5.2024,2024,May,4211.65,0.320000475,1347.73,,20000177415,12,,10100571587,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,6.2024,2024,June,8189.86,0.320000586,2620.76,,20000181150,54,,10100620304,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,7.2024,2024,July,8536.54,0.319999672,2731.69,,20000182308,4089,,10100620313,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,8.2024,2024,August,7119.68,0.320000337,2278.3,,20000184868,6,,10100620322,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,9.2024,2024,September,7295.32,0.319999671,2334.5,,20000186933,1388,,10100641304,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,10.2024,2024,October,5817.15,0.320000344,1861.49,,20000295034,6,,10100641313,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,11.2024,2024,November,3295.78,0.320000121,1054.65,,20000060207,12,,10100641322,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005768822,12.2024,2024,December,1904.47,0.31999979,609.43,,20000074641,1,,10100641331,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,1.2024,2024,January,6000,0.32,1920,,20000913028,3,,10100641341,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,2.2024,2024,February,7500,0.32,2400,,20000916039,1,,10100768321,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,3.2024,2024,March,5100,0.32,1632,,,,,10100768331,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,4.2024,2024,April,5796,0.32,1854.72,,,,,10100774768,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,5.2024,2024,May,9405,0.32,3009.6,,,,,10100774786,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,6.2024,2024,June,13023,0.32,4167.36,,,,,10100898596,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,7.2024,2024,July,13608,0.32,4354.56,,,,,10100898602,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,8.2024,2024,August,17829,0.32,5705.28,,,,,10100898611,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,9.2024,2024,September,19497,0.32,6239.04,,,,,10100898621,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,10.2024,2024,October,16587,0.32,5307.84,,,,,10100898630,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,11.2024,2024,November,10950,0.32,3504,,,,,10100898649,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005769795,12.2024,2024,December,6105,0.32,1953.6,,,,,10100898658,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,1.2024,2024,January,3900,0.32,1248,,,,,10100898667,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,2.2024,2024,February,4800,0.32,1536,,,,,10100898676,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,3.2024,2024,March,3900,0.32,1248,,,,,10100978768,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,4.2024,2024,April,4809,0.32,1538.88,,,,,10100978777,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,5.2024,2024,May,9777,0.32,3128.64,,,,,10101289249,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,6.2024,2024,June,16482,0.32,5274.24,,,,,10101653382,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,7.2024,2024,July,19785,0.32,6331.2,,,,,10101653391,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,8.2024,2024,August,19113,0.32,6116.16,,,,,10101653417,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,9.2024,2024,September,19212,0.32,6147.84,,,,,10101653426,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,10.2024,2024,October,12774,0.32,4087.68,,,,,10101653435,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,11.2024,2024,November,8622,0.32,2759.04,,,,,10101653444,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041218697,12.2024,2024,December,7152,0.32,2288.64,,,,,10101653453,23,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,1.2024,2024,January,491,0.32,157.12,,,,,10101653462,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,2.2024,2024,February,719,0.32,230.08,,,,,10101653471,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,3.2024,2024,March,639,0.32,204.48,,,,,10101653481,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,4.2024,2024,April,646.64,0.319992577,206.92,,,,,10101656526,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,5.2024,2024,May,639.4,0.320003128,204.61,,,,,10101656535,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,6.2024,2024,June,651.81,0.320001227,208.58,,,,,10101751356,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,7.2024,2024,July,621.45,0.319993563,198.86,,,,,10101799805,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,8.2024,2024,August,689.37,0.320002321,220.6,,,,,10101799814,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,9.2024,2024,September,590.54,0.319995259,188.97,,,,,10101799823,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,10.2024,2024,October,507.65,0.32000394,162.45,,,,,10101799832,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,11.2024,2024,November,393.58,0.320011179,125.95,,,,,10101799841,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237745,12.2024,2024,December,380.13,0.319995791,121.64,,,,,10101799851,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,1.2024,2024,January,0,,0,,,,,10101799860,24,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,2.2024,2024,February,0,,0,,,,,10101799888,24,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,3.2024,2024,March,0,,0,,,,,10101799897,24,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,4.2024,2024,April,0.49,0.326530612,0.16,,,,,10101799903,24,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,5.2024,2024,May,0,,0,,,,,10101799912,24,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,6.2024,2024,June,0,,0,,,,,10101799921,24,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,7.2024,2024,July,0,,0,,,,,10102123818,14,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,8.2024,2024,August,0,,0,,,,,10102123827,14,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,9.2024,2024,September,0,,0,,,,,10102123836,14,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,10.2024,2024,October,0,,0,,,,,10102123845,14,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,11.2024,2024,November,0,,0,,,,,10102123854,14,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041237871,12.2024,2024,December,0,,0,,,,,10102123863,14,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,1.2024,2024,January,0,,0,,,,,10102123872,14,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,2.2024,2024,February,0,,0,,,,,10102123881,14,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,3.2024,2024,March,0,,0,,,,,10102123891,14,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,4.2024,2024,April,0.48,0.3125,0.15,,,,,10102123907,14,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,5.2024,2024,May,0,,0,,,,,10102159015,19,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,6.2024,2024,June,0,,0,,,,,10102159024,19,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,7.2024,2024,July,0,,0,,,,,10102159033,19,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,8.2024,2024,August,0,,0,,,,,10102159042,19,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,9.2024,2024,September,0,,0,,,,,10102159051,19,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,10.2024,2024,October,0,,0,,,,,10102159061,19,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,11.2024,2024,November,0,,0,,,,,10102159070,24,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041238134,12.2024,2024,December,0,,0,,,,,10102417666,22,,б« нжћѕ,Ќ”«» гжЋё,0,ќ«гб/—”жг ЁёЎ
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041364962,1.2024,2024,January,1686,0.32,539.52,,,,,10102417675,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041364962,2.2024,2024,February,1781,0.32,569.92,,,,,10102417737,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041364962,3.2024,2024,March,1725,0.32,552,,,,,10102417746,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041364962,4.2024,2024,April,2385,0.32,763.2,,,,,10102417755,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041364962,5.2024,2024,May,2901.76,0.319998897,928.56,,,,,10102417764,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10041364962,6.2024,2024,June,4275.09,0.320000281,1368.03,,,,,10102417773,22,,б« нжћѕ,Ќ”«» гжЋё,0,д‘Ў
